Назва,Місто/район
до загальної кількості
підприємств",Фізичні особи-підприємці одиниць
до загальної кількості
фізичних осіб-підприємців"
Одеська область,
Одеса,Місто
Балта,Місто
Білгород-Дністровський,Місто
Біляївка,Місто
Ізмаїл,Місто
Чорноморськ,Місто
Подільськ,Місто
Теплодар,Місто
Южне,Місто
Ананьївський,Район
Арцизький,Район
Балтський,Район
Білгород-Дністровський,Район
Біляївський,Район
Березівський,Район
Болградський,Район
Великомихайлівський,Район
Іванівський,Район
Ізмаїльський,Район
Кілійський,Район
Кодимський,Район
Лиманський,Район
Подільський,Район
Окнянський,Район
Любашівський,Район
Миколаївський,Район
Овідіопольський,Район
Роздільнянський,Район
Ренійський,Район
Савранський,Район
Саратський,Район
Тарутинський,Район
Татарбунарський,Район
Захарівський,Район
Ширяївський,Район
